English,Italian
CABLE PRESSURE SENSOR,CAVO PRESSURE SENSOR
CABINET,MOBILETTO
INTERF SUPPRESSOR,CONDENSATORE ANTIDISTURBO
SEAL 25X35X7,GUARNIZIONE 25X35X7
GRUB SCREW M4X5,GRANO M4X5
HANDRAIL L=660MM,CORRIMANO L=660MM
PLASTIC TUBE,TUBO PLASTICA
SELF ASSEMBLY,AUTOASSEMBLAGGIO
TROLLEY,CARRELLO
"INDUCTION WOK,1ZONE,1S,BSPL,500X900X250H","WOK INDUZIONE,1 ZONA,1LATO,ALZAT,H250"
SEAL_UPPER GAUGE,SIGILLANTE
"O-RING 16X2,0MM",O-RING
SUPPORT LOWER,SUPPORTO LOWER
S DOOR ASSEMBLY,ASS PORTA S
PUSHBUTTON,PULSANTE
INTERNAL DOOR SUPPORT,SUPPORTO PORTA INTERNA
SPACER TUBE L=25MM,TUBO DISTANZIALE
DISPLAY FOR M5D,DISPLAY
HEATING FLANGE,FLANGIA RESISTENZA
SEALING KIT,GUARNIZIONI POMPA KIT
"ENVELOPE,18X24,KRAFT STAY FLAT","BUSTA,18X24,KRAFT SOGGIORNO PIATTO"
SUPPORT RIGHT,SUPPORTO GUIDA SCORREVOLE DESTRA
"EL,BOILING PAN+AUTO,FILL,-100L-EASYLINE",PENTOLA ELETTRICA AUTORIEMPIM 100L
ADDITIONAL CARD S39,SCHEDA
MAGNET PROTECTOR,PROTEZIONE
"OVERSHELF,HEATED,2000 MM","MENSOLA D'APPOGGIO RISCALDANTE,2000 MM"
CORPS EQ TRK2,CORPO EQ TRK2
BEARING KIT,CUSCINETTO
DRAIN FILTER,FILTRO DI SCARICO
"TABLE+SPLBACK3L/H DRAW 2SLID,DOORS2000MM",TAVOLO C/ALZ 3 CASSETTI L/H 2 PORTINE SCORREVOLI 2000MM
BOTTOM DC6-8HP WHITE,FONDO
BRACKET_CONTROL BOARD_GNB-CE,SQUADRETTA
USE 3040212,USARE 3040212
TANGENTIAL FAN TGO,VENTILATORE
"CUPBOARD BASE,2 DOORS,1-S,1000X850X450H","VANO ARMADIATO 2 PORTE,1L,1000XH450"
"OPEN BASE,H2,1-SIDE,1500X900X450H",VANO APERTO H2 1 LATO 1500XH450
MANTLE SHROUD,FODERA MANGANO
RED LAMP CAP,GEMMA ROSSA
BURNER-PILOT PIPE,CONDUTTURA VALVOLA-BRUCIATORE
LONG ROD,"ASTA COLL,ESTREMITA' LUNGA GR,CHIUSURA"
USB COVER PLATE,CONNETTORE
LATERAL ABRASIVE M25T,ABRASIVO LATERALE M25T
OUTLET COVER WELDING,COPERTURA
REDUCTION NIPPLE 1/4,NIPPLO DI RIDUZIONE 1/4
TIMER DIGITAL 230V,TIMER
"SCREW 3,5X9","VITE 3,5X9"
CONTACT,CONTATTO
WATER JET,UGELLO ACQUA
"RESISTOR 3,3KOHM","RESISTORE 3,3KOHM"
TANK SP20,VASCA SP20
MEMBRANE FCF 20,MEMBRANA
AIR CHAMBER PLASTIC,TRAPPOLA D'ARIA IN PLASTICA
GASKET 208X387,GUARNIZIONE 208X387
SOCKET,ZOCCOLO
PIVOT M6X10,PERNO FILETTATO M6X10
MOTOR SAS2902-2902-907240,MOTORE SAS2902-2902-907240
HEATER_6600W/240V,RESISTENZA
VEGETABLE PROCESSING/WASH+UPSTAND 1600,TAVOLO LAV VERDURE CON ALZATINA 1600MM
DECAL_CLEANING_INNER DOOR_PIC,ETICHETTA
IPRO2 CONDENSER,CONDENSATORE I 6702
CHARGEUR EQ TR260,CARICATORE EQ TR260
"CHEST FREEZER,-18-25°C,215LT","CONSERVATORE A POZZO,-18-25°,215L"
"ALUM,SHELV,,POLY,TIERS-COLDROOM 163X123","SC IN ALLUM RIP,POLYETH,CELLE 163X123"
DRUM CROSS,CROCIERA PER CESTO
"TABLE+SPLBACK3R/H DRAW 2SLID,DOORS2000MM","TAV+ ALZ CON 3 CASS LATO DX+2 P,SC,2000"
REPAIRING KIT,KIT DI RIPARAZIONE
SPRING WASHER LAMINOIR,RONDELLA ELASTICA LAMINOIR
"EL,MULTIBRAISER,2/1GN,1SIDE,800X800X800H","BRASIERA EL,MULTIF GN 2/1 1LATO H 800"
"GASKET BOWL SIMPLICITY,CS-3L","GUARNIZIONE COPPA SEMPLICITÀ,CS-3L"
MAGNETIC SEAL 1550X655,GUARNIZIONE MAGNETICA 1550X655
SDC DECOMPRESSION PIPE,CONDUTTURA
CABLE H40 AWG,CAVO MOTORIDUTTORE H40 AWG
HOOD GUIDE,GUIDA PER CAPPOTTA
PLASTIC CLIP,CLIP
VOLTAGE REGULATOR,REGOLATORE TENSIONE
KARMA SHAFT,ALBERO TRASCINATORE U-GO KARMA
INTERCONNECTION CIRCUIT,CIRCUITO
"250LT EL,RECT,BOILING PAN-INDIR,HEATING","PENTOLA ELET,RETT,250LT-RISCALD,INDIRET"
INOX PLUG,SPINETTA INOX 4X30
SHAFT ADAPTER,ALBERO RIDUTTORE MP COMPLETO DI RETTIFICA
EDS INTERFACE 24V,EDS INTERFACCIA
DOSING PUMPS SUPPORT,STAFFA DOSATORI
PAPER FILTER SUPPORT,SUPPORTO FILTRO CARTA
RIGHT DOOR,PORTA DESTRA
"REPL,= 0780050766",CERNIERA
HEATING ELEMENT 230V-500W,RESISTENZA 230V-500W
BASKET FRYER,CESTO FRIGGITRICE
GUIDE INOX DX/SX,GUIDA INOX A L DX-SX PER TAVOLO PASTRY
"EL,MULTIBRAISER,1/1GN,1SIDE,400X800X700H","BRASIERA EL,MULTIF GN 1/1 1LATO H 700"
"CHEST FREEZER,-15-23°C,510L,ISLAND","CONSERVATORE A POZZO-15-23°C,510 L,ISOLA"
"PUMP 230V/50HZ HP0,3","POMPA 230V/50HZ HP0,3"
STRUCTURE LOWER,STRUTTURA INFERIORE
"MEAT MINCER,ST/ST,VENTILATED,200KG/H","TRITACARNE INOX,VENTILATO,200 KG/H"
HEATING ELEMENT 230V-4000W,RESISTENZA 230V-4000W
RADIAL SHAFT SEAL,GUARNIZIONE ALBERO
"BOLT,DAMPER LINING",BULLONE
"ROLLER ASSY,BACK LMB500","RULLO ASSY,BACK LMB500"
CONVEYOR BELT,NASTRO TRASPORTATORE
NONRETUR VALVE,VALVOLA DI NON RITORNO
FRAME 1100-5,CORNICE 1100-5
INTERMEDIATE PINION PZ1200,PIGNONE INTERMEDIO PZ1200
BEARING 40X44X16,CUSCINETTO
CRADLE ASSY EL40,GRUPPO CULLA EL40
SHELF 500/1250 WHITE,RIPIANO 500/1250 WHITE
"VALVE ASSY,SPRAYHEAD-200V",VALVOLA
BEARING STUD,PERNO CUSCINETTO
AXIS ROUE TR250,ASSE ROUE TR250
CARRIAGE ASS,GRUPPO CARRO ASS
RIGHT SUPPORT,SUPPORTO DX ALZATINA
"EL,SOLID TOP,4ZNE,ECO,1S,BS,1000X900X800","TUTTAPIAS,EL,ECOTOP,4 ZONE,1L,,ALZ,H800"
LEAD,PESCANTE SALAMOIA MAXI RG 20LT
M5D CARTER,SUPPORTO
THERMOCOUPLE KIT,TERMOCOPPIA KIT
SOCLE,ZOCCOLO
EVAPORATOR ASS,EVAPORATORE ASS
"REPL,= 0780047505",RESISTENZA BOILER
UNDER-LID,SOTTOCOPERCHIO AUTOFILL PREMIX I-PRO BIANCO
MAGNETIC VALVE JOUCOMATIC,VALVOLA MAGNETICA
PUMPING GASKET,GUARNIZIONE
SUPPORT SIDE,SUPPORTO
"EL,SOLID TOP,2ZONE,ECO,1S,BS,500X900X800","TUTTAPIAS,EL,ECOTOP,2 ZONE,1L,,ALZ,H800"
CAPILLARY PIPE,"TUBO CAP I,0,91 X E,2,05 X 3000"
STOP PLATE,PIASTRINA DI ARRESTO
SPATULA LISSAGE 0707000PR,SPATOLA LISSAGE 0707000PR
WIND OUTLET ASSY,CONVOGLIATORE
MIDDLE SCRAPER,RASCHIETTO
DEFROSTING ELEMENT 750W,RESISTENZA DI SBRINAMENTO 750W
"NOZZLE DIA,4,10MM","UGELLO DIA,4,10MM"
T-COUPLING,RACCORDO A T
END SHIELD,SCUDO TERMINALE
THERMOSTAT FS,TERMOSTATO FS
"WASHER 21X10,5X2 BRASS",RONDELLA
"ALUM,SHELV,,POLY,TIERS-COLDROOM 163X163","SC IN ALLUM RIP,POLYETH,CELLE 163X163"
HOOK 10L,UNCINO PER IMPASTARE 10L
NIPPLE,NIPPLO
THERMOSTAT SUPPORT,SUPPORTO PER TERMOSTATO
STEAM BALL VALVE,VALVOLA A SFERA
UI ASSEMBLED,SCHEDA INTERFACCIA UTENTE
BULKHEAD,PASSAPARETE 8MM
OUTLET COVER (TOP,TOP
PIPE JOINT,RACCORDO TUBO
PESTLE,PESTELLO
MERCHANDISING,"FOTO RETRO 14,2X12,5 FROSTY DREAM"
ADAPTATOR ASS,ADATTATORE
BLACK HANDLE,LEVA RUBINETTO NERA
COVERPLATE,PANNELLO COPERTURA
BASE TANK WELDED,SERBATOIO
"OPEN BASE,GN,1-SIDE,H2-400X850X450H",VANO APERTO H2 GN 1 LATO 400XH450
FILTER FOR HOOD,FILTRO ESTERNO CAPPA EV
"PASSTH,OPEN BASE,H2,2-SIDE,1200X900X550H","VANO APERTO PASSANTE,H2 2LATI,1200XH550"
BEARING NECK,PERNO CUSCINETTO
SCREW M6X55,VITE TE A2 M6X55 UNI5737
EVAPORATOR 20GR,EVAPORATORE
DOUBLE CHECK VALVE,RACCORDO CARTUCCIA JG8-JG8 NYLON+2 CHECK
MOTOR-VARIATOR MBE40,MOTORE-VARIATORE MBE40
GRATER,GRATTUGIA
"REPL,= 077018002886",RESISTENZA
NUT PLASTIC,DADO PLASTIC
SHAFT HEAD,TESTA D'ALBERO
"EVAPORATOR ASSEMBLY,CS-4E/2D/3","GRUPPO EVAPORATORE,CS-4E/2D/3"
WIRE REEL,BOBINA
"REPL,= 0780057382","RAHMEN ART,-NR 57382"
TERMINAL HOLDER,SUPPORTO
TIMER CONNECTION,ATTACCO
DOME FLAME MODULATOR,SPARTIFIAMMA
"REPL,= 0700214760",RESISTENZA 3500W 240V
LIGHT DIFFUSER,DIFFUSORE
INSULATING PLATE,PANNELLO ISOLANTE
TRASH BASKET,CESTO
"PLATFORM SCALE,AUTOMATIC,200KG/50GR","BILICO A PAVIMENTO,AUTOMAT,,200KG/50GR"
SCREW INOX,VITE INOX
DRYING BASE,BASE
MOTOR BASE L-R,SUPPORTO MOTORE
RADIAL SEAL,TENUTA RADIALE
"WASHER A10,5","RONDELLA DENTELLATA A10,5"
WRAP DOUBLE IC,AVVOLGIMENTO DOPPIO IC
"INJECTOR AEM D,135","INIETTORE AEM D,135"
ADJUSTING CLAMP,FASCETTA REGOLABILE
METAL TRUNKING,CANALE
"REPL,= 077019003764",MANOMETER 19003764 TH-Z 12.9
CROWN,CORONA
OXYGEN CARTRIDGE 110BAR,CARTUCCIA OSSIGENO 110BAR
SEAL 38X62X7,GUARNIZIONE 38X62X7
SPACER 17X24X14 TR300,DISTANZIALE 17X24X14 TR300
M6 CAP NUT,DADO CAPPUCCIO M6
REAR BEAM,PANNELLO POSTERIORE
RIGHT DOSING LEVER,LEVA
SHACKLE 8-14MM,GRILLO 8-14MM
"HANDLE DOOR 337,8MM",MANIGLIA
WELDED BOLT,DADO SALDATO
"GAS TOP,2 BURN,ECO,1-S,BSPL,500X900X250H","CUCINA GAS 2 FUOCHI,ECOFLAM,1L,ALZ,H250"
AIR TUBE,TUBO A GOMITO
SECOND DRAIN SET,VALVOLA DI SCARICO
"OPEN BASE,H2,GN,1-SIDE,800X800X550H","BASE APERTA 800MM,GN,1LATO(H2) H=550"
INTERMEDIATE VALVE,VALVOLA INTERMEDIA 10MM
MICROSWITCH K120/180,MICROINTERRUTTORE K120/180
RMC KIT,KIT RMC
OVEN GASKET 666X701MM,GUARNIZIONE PORTA FORNO 666X701MM
COIL HOUSING,ALLOGGIAMENTO BOBINA
NOZZLE T105,UGELLO T105
GAS TUBE BURNER,CONDUTTURA GAS BRUCIATORE
"REPL,= 0700216789",ISOLIERMATTE 20X720X1850 SPTR
BLACK DOOR,PORTIERA ORZO GH2 2016 NERA ABS 901510
THREE-WAY VALVE,VALVOLA
LAMP COVER G9,COPERTURA LAMPADA G9
DECORATION PLATE,PANNELLO DECORATIVO
"REPL,= 077019001667",DREHFEDER FUER VARIOSTEAMER
MP1-HC RIGHT PANEL,PANNELLO DESTRO MP1-HC
DOOR CAM/SPACER,DISTANZIALE
USE 4100599,USARE 4100599
PLASTIC BOX,SCATOLA
"CHAIN DIA,67P/65S-SM PSX42-S-SM","CATENA RINVIO DIA,67P/65S-SM,PSX42-S-SM"
LED 4000K,PANNELLO ACCIAIO INOX 304 CON LED 4000K
SHAFT ASSEMBLY,ALBERO
"PASSTH,OPEN BASE,H2,GN,2S,700X900X550H","VANO APERTO PASSANTE,H2,GN,2LAT,700XH550"
TERMINAL GREY,MORSETTO ELETTRICO
"EL,FRYTOP,RIBBED PL,1S,BSPL,400X800X700H","FRY TOP RIGATO EL,MEZZO MOD,1LATO C/ALZ"
"ALUM,LINEAR SHELV,-POLY,TIERS-373X2404MM","SC,LINEARI ALLUM,RIP,POLYETH-373X2404MM"
SUPPORT GALET PSF50,SUPPORTO GALET PSF50
"INDUCTION TOP,4ZONE,1S,BSPL,800X850X250H","PIANO INDUZIONE,4 ZONE,1LATO,ALZAT,H250"
