English,Italian
ELECTROLUX DOOR ASS,ASS PORTA ELECTROLUX
SUPPORT BASIN RIGHT,SUPPORTO BACINELLA DX
ELECTROVANNE,ELETTROMAGNETE
VOLTAGE REGULATOR,REGOLATORE TENSIONE
LIDGASKET,GUARNIZIONE COPERCHIO
PLASTIC CONVEYOR,CONVOGLIATORE IN PLASTICA
"EL,FRYTOP,MIXED PL,1-S,BSPL,800X850X250H","FRYTOP EL,PIAST,LIS/RIG,1L,ALZ,800MXH250"
GLASS 592X465MM,VETRO 592X465MM
MOUNTING FRAME,CORNICE
"HOT PL,LOWER(BEECHW)2CYL,ADJ D=200-280MM","SOLL,PIATTI RISC(CILIEGIO)2CIL D=200-280"
FAUCET_MODEL S,CORPO RUBINETTO
"PUMP 230V 1,5HP","POMPA 230V 1,5HP"
PLUG NYLON,TAPPO IN NYLON
"WORK TOP,CLOSED,1-S,BACKSPL,300X800X250H",NEUTRO TOP 300MM 1 LATO C/ALZATINA
THERMOCOUPLE M8X1,TERMOCOPPIA M8X1
"REPL,= 0700214839",KAP-REGLER TYP 63.41010.01 TYP
"SALAD CUT,EQ,-PRESS,BLOCK+GRID 25X25MM","ACC,TAGLIA VERDURA+BL,PRESS+GRIGLIA25X25"
BUSH NYLON,BUSSOLA NYLON
WASTE BASKET,CESTO PER RIFIUTI
ACCESSORY,"ACCESSORIO TAGLIOLINI ATT K 1,5MM"
WIRING HARNESS LS6-LS5,CABLAGGIO LS6-LS5
TUBE Ø=50 L=500,TUBO Ø=50 L=500
SPIRAL PSX25/33,SPIRALE SEMPLICE PSX25/33
THERMOMETER_ME URN_CE,TERMOMETRO_ME URN_CE
ELEMENT BOILER,RESISTENZA
MACHINE FEET,PIEDE
BRUSHES FOR MOTOR,SPAZZOLE PER MOTORE
"PLANET,MIXER-ELEC,MECH,-80L 230-400/3/50","MES,PLAN-ELEC,MEC,VARIATOR-80L 230-400/3"
PROBE PIECE,SONDA
"GAS TOP,4BURN+S,OVEN,PTH,2S,1000X900X700","CUCINA GAS 4FUOCHI+FORNO ST,PASS,2L,H700"
FRONTAL PROTECTION,PROTEZIONE FRONTALE KE-SOFT
SOLID-STATE RELAY,RELE
FAN INSULATOR,ISOLANTE VENTOLA
"CHEST FREEZER,-15-23°C,510L,ISLAND","CONSERVATORE A POZZO-15-23°C,510 L,ISOLA"
COMPONENT SUPPORT,SUPPORTO COMPONENTI
NOMEX THREAD,FILO IN NOMEX 1 MT
GENERATOR,GENERATORE
ELECTRICAL CARDBOARD,SCHEDA ELETTRONICA
TUB 600X800,VASCA 600X800
ICEBREAKER,ROMPIGHIACCIO
BRACKET INOX,SQUADRETTA
"SPIRAL MIXER,25KG,1-SPEED,230V","IMPASTATRICE SPIRALE,25KG,1 VEL,230"
FITLER HATCH,FILTRO ARIA
DRAIN ASSEMBLY,SCARICO GRASSI PER COMBI-DUO KIT
EXPANSION VESSEL,AUTOCLAVE A MEMBRANA TARATO 1.5 BAR
WATER CONNECTOR,PORTAGOMMA ACCIAIO INOX
"REPL,= 0780054033","UGELLO DIA 1,9"
